BEN,Benin,Africa,2019,4371,48,16,43,42,45,34,21,-1,-1,-1,-1,-1,-1,-1,-1,-1,45,37,19,-1,-1,27,-1,-1,28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30,-1,-1,24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BMU,Bermuda,North America,2019,9,100,6,40,53,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-2,-2,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,-1,-1,-1,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0
BTN,Bhutan,Asia,2019,198,42,12,46,42,64,25,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,58,31,11,63,29,8,86,3,11,-1,-1,0,-1,-1,-1,-1,-1,-1,75,14,11,93,4,3,-1,-1,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,19,-1,-1,17
BOL,Bolivia (Plurinational State of),South America,2019,3269,70,15,43,42,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BWA,Botswana,Africa,2019,751,70,22,48,31,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BRA,Brazil,South America,2019,42289,87,11,33,56,-1,-1,15,-1,-1,4,-1,-1,44,-1,-1,21,-1,-1,18,-1,-1,6,-1,-1,5,-1,-1,4,-1,-1,10,-1,-1,7,-1,-1,4,-1,-1,5,61,35,4,61,36,3,60,24,16,77,17,6,61,35,4,65,33,2
VGB,British Virgin Islands,North America,2019,5,48,12,45,42,93,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,84,-1,-1,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0,95,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,91,9,0,100,0,0
BRN,Brunei Darussalam,Asia,2019,105,78,18,37,44,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,100,0,0,100,0,0
BFA,Burkina Faso,Africa,2019,8604,30,22,40,38,53,7,41,-1,-1,28,-1,-1,49,-1,-1,30,-1,-1,41,42,14,44,70,10,20,-1,-1,11,-1,-1,30,-1,-1,15,-1,-1,18,53,14,32,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,-1,-1,8,-1,-1
BDI,Burundi,Africa,2019,4111,13,15,45,40,46,13,41,-1,-1,-1,-1,-1,-1,48,3,49,45,8,48,52,33,15,49,46,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,56,9,93,7,0,17,16,67,-1,-1,-1,-1,-1,-1,52,17,31,18,4,79,14,21,64
CPV,Cabo Verde,Africa,2019,152,66,19,41,40,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,90,8,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,91,9,0,85,15,0,84,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,83,-1,-1,100,-1,-1
KHM,Cambodia,Asia,2019,4837,24,21,42,37,73,0,27,75,0,25,73,0,27,58,0,42,80,2,18,76,0,24,32,30,38,38,18,43,31,31,38,11,21,68,40,34,25,48,34,18,48,5,47,55,6,40,47,6,48,38,4,58,55,6,40,42,8,51
CMR,Cameroon,Africa,2019,9704,57,16,43,41,34,30,36,-1,-1,29,-1,-1,65,-1,-1,39,34,23,43,-1,-1,-1,39,12,49,-1,-1,-1,-1,-1,-1,-1,-1,-1,39,7,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CYM,Cayman Islands,North America,2019,16,100,19,39,42,100,0,0,-1,-1,-1,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0,100,0,0,-1,-1,-1,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0
CAF,Central African Republic,Africa,2019,2111,42,21,39,40,16,7,77,-1,-1,-1,-1,-1,-1,-1,-1,49,16,3,81,-1,-1,58,-1,-1,59,-1,-1,-1,-1,-1,-1,-1,-1,24,-1,-1,59,-1,-1,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
TCD,Chad,Africa,2019,6974,23,23,40,37,23,14,63,-1,-1,-1,-1,-1,-1,-1,-1,41,19,11,70,-1,-1,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CHL,Chile,South America,2019,3726,88,19,41,40,-1,-1,4,-1,-1,0,-1,-1,10,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CHN,China,Asia,2019,252537,60,20,41,39,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,42,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,1
HKG,"China, Hong Kong Special Administrative Region",Asia,2019,845,100,22,41,38,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0,100,0,0,100,0,0,-2,-2,-2,-1,-1,-1,100,0,0,100,0,0
